epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.415,2.34328,4.04094,1.63815,0,0,0,0,3.40327,4.29017,1.62577,6.668e-05,6.668e-05,6.668e-05
2,28.041,2.03222,3.86871,1.53827,0,0,0,0,3.19979,4.23756,1.53522,0.000148545,0.000148545,0.000148545
3,40.2228,2.07625,3.69319,1.41766,0,0,0,0,3.17928,4.23326,1.50294,0.000228759,0.000228759,0.000228759
4,52.7353,1.9778,3.2418,1.30909,0,0,0,0,3.33577,4.18633,1.58497,0.000307323,0.000307323,0.000307323
5,64.6692,1.96045,2.69969,1.28537,0,0,0,0,3.60805,4.12554,1.65849,0.000384237,0.000384237,0.000384237
6,78.1075,2.00327,2.67393,1.33975,0,0,0,0,3.57508,3.98568,1.62914,0.0004595,0.0004595,0.0004595
7,91.0564,2.02991,2.14968,1.23837,0.01042,0.09091,0.04534,0.00988,3.33243,3.69558,1.58978,0.000533113,0.000533113,0.000533113
8,102.781,1.99831,2.10277,1.2044,0.01124,0.09091,0.04567,0.01175,3.4945,3.5836,1.67977,0.000605076,0.000605076,0.000605076
9,114.524,2.00588,2.00934,1.26807,0.00852,0.06818,0.03158,0.01308,3.59347,3.46108,1.81214,0.000675388,0.000675388,0.000675388
10,125.809,1.88563,1.76836,1.14153,0.00654,0.04545,0.00933,0.00426,3.73141,3.50265,1.8274,0.00074405,0.00074405,0.00074405
11,136.898,1.92215,1.71295,1.2059,0.00977,0.07487,0.01225,0.00394,3.57275,3.46593,1.68691,0.000811062,0.000811062,0.000811062
12,148.023,1.8881,2.23075,1.32919,0.01072,0.08155,0.01785,0.00682,3.36643,3.43709,1.59196,0.000876424,0.000876424,0.000876424
13,159.511,2.00529,1.83365,1.23172,0.03,0.08824,0.04895,0.01343,3.12287,3.37135,1.53955,0.000940135,0.000940135,0.000940135
14,173.727,1.94905,1.815,1.20391,0.03,0.08824,0.04895,0.01343,3.12287,3.37135,1.53955,0.0010022,0.0010022,0.0010022
15,186.587,1.97193,1.68339,1.21224,0.35487,0.04925,0.07719,0.01969,3.01103,3.32263,1.44689,0.00106261,0.00106261,0.00106261
16,202.515,1.8428,1.82616,1.19687,0.29434,0.04506,0.06935,0.02317,2.96563,3.41599,1.38425,0.00112137,0.00112137,0.00112137
